GeoFips,Location,Year,Total Personal Income (Thousands),Population
50011,Franklin County,2014,1970086,48618
50015,Lamoille County,2007,944465,23778
50019,Orleans County,2015,1100349,27100
50023,Washington County,2011,2721351,59556
50027,Windsor County,2014,2833032,55962
50023,Washington County,2007,2376273,59275
50021,Rutland County,2013,2735099,60585
50001,Addison County,2008,1403545,36905
50021,Rutland County,2015,2849037,59736
50027,Windsor County,2015,2931116,55737
50011,Franklin County,2013,1896241,48267
50000,Vermont,2009,25130695,624817
50007,Chittenden County,2008,7181689,154659
50019,Orleans County,2007,852955,27332
50015,Lamoille County,2014,1170416,25143
50000,Vermont,2011,27220129,626687
50001,Addison County,2011,1534119,36873
50013,Grand Isle County,2014,364858,6974
50011,Franklin County,2007,1549330,47455
50015,Lamoille County,2009,995414,24193
50019,Orleans County,2010,924723,27246
50013,Grand Isle County,2009,312301,7022
50015,Lamoille County,2006,928049,23642
50013,Grand Isle County,2012,353517,6970
50013,Grand Isle County,2008,313979,7211
50023,Washington County,2009,2542585,59353
50017,Orange County,2014,1205160,28868
50017,Orange County,2007,995312,29119
50023,Washington County,2014,2961212,58940
50001,Addison County,2007,1341908,36886
50007,Chittenden County,2011,7737034,157746
50027,Windsor County,2012,2673363,56233
50017,Orange County,2009,1056832,28965
50003,Bennington County,2013,1634856,36698
50011,Franklin County,2006,1433942,47392
50009,Essex County,2010,193972,6302
50017,Orange County,2006,942993,29249
50007,Chittenden County,2009,7057415,155793
50017,Orange County,2011,1098007,29053
50015,Lamoille County,2012,1107813,24951
50005,Caledonia County,2015,1163556,30780
50009,Essex County,2007,172044,6421
50009,Essex County,2013,203176,6192
50023,Washington County,2012,2822865,59358
50003,Bennington County,2010,1480979,37105
50017,Orange County,2013,1152848,28873
50027,Windsor County,2006,2320287,57184
50025,Windham County,2008,1749993,44407
50017,Orange County,2008,1031300,29032
50000,Vermont,2006,23011821,622892
50003,Bennington County,2007,1492679,37077
50023,Washington County,2010,2608529,59570
50005,Caledonia County,2013,1117121,31122
50027,Windsor County,2008,2504414,56850
50009,Essex County,2015,212605,6163
50000,Vermont,2008,25494389,624151
50001,Addison County,2014,1651595,37035
50021,Rutland County,2012,2680483,60915
50005,Caledonia County,2010,1016814,31181
50013,Grand Isle County,2006,291952,7173
50009,Essex County,2014,204418,6129
50001,Addison County,2009,1382943,36847
50009,Essex County,2011,197909,6328
50003,Bennington County,2015,1732313,36317
50021,Rutland County,2010,2485064,61585
50015,Lamoille County,2008,1015232,23971
50007,Chittenden County,2010,7175092,156805
50025,Windham County,2013,1912555,43902
50003,Bennington County,2014,1693133,36412
50003,Bennington County,2011,1571670,36833
50000,Vermont,2007,24232173,623481
50009,Essex County,2008,180863,6404
50011,Franklin County,2011,1804488,48162
50011,Franklin County,2012,1858358,48246
50025,Windham County,2010,1761361,44509
50019,Orleans County,2013,1040674,27189
50011,Franklin County,2009,1636809,47620
50000,Vermont,2013,28592608,627129
50019,Orleans County,2012,1027063,27168
50019,Orleans County,2008,885614,27269
50023,Washington County,2013,2887077,59195
50025,Windham County,2009,1717289,44441
50019,Orleans County,2009,886222,27234
50023,Washington County,2008,2521186,59278
50027,Windsor County,2009,2434861,56708
50019,Orleans County,2014,1079929,27086
50000,Vermont,2014,29548584,626767
50013,Grand Isle County,2013,353265,6979
50000,Vermont,2015,30417564,626042
50021,Rutland County,2007,2405152,62618
50025,Windham County,2015,2061980,43386
50001,Addison County,2006,1262624,36758
50017,Orange County,2012,1130192,28954
50025,Windham County,2014,1984946,43766
50013,Grand Isle County,2015,367776,6861
50025,Windham County,2011,1846489,44233
50015,Lamoille County,2015,1216221,25235
50025,Windham County,2012,1891330,44002
50025,Windham County,2007,1669102,44444
50001,Addison County,2015,1641055,37035
50009,Essex County,2006,166803,6341
50013,Grand Isle County,2011,326585,6978
50001,Addison County,2012,1630596,36852
50005,Caledonia County,2008,1012859,31167
50027,Windsor County,2007,2406249,57061
50003,Bennington County,2006,1409413,37127
50021,Rutland County,2009,2458105,61946
50007,Chittenden County,2012,8021223,158752
50000,Vermont,2012,28120420,626398
50001,Addison County,2013,1622487,36920
50019,Orleans County,2006,787431,27215
50005,Caledonia County,2011,1077093,31127
50015,Lamoille County,2010,992471,24537
50005,Caledonia County,2014,1146856,30941
50027,Windsor County,2013,2692245,56168
50005,Caledonia County,2012,1108693,31090
50005,Caledonia County,2009,997821,31213
50007,Chittenden County,2015,8836599,161382
50021,Rutland County,2014,2769010,60150
50007,Chittenden County,2014,8513933,160743
50015,Lamoille County,2013,1129220,25108
50021,Rutland County,2006,2271989,62894
50023,Washington County,2015,3079557,58612
50003,Bennington County,2012,1617707,36684
50021,Rutland County,2008,2479699,62368
50011,Franklin County,2010,1666754,47797
50005,Caledonia County,2007,946974,31238
50009,Essex County,2009,184636,6331
50017,Orange County,2015,1237929,28899
50009,Essex County,2012,197217,6223
50007,Chittenden County,2007,6771655,153625
50025,Windham County,2006,1589407,44390
50021,Rutland County,2011,2629740,61266
50027,Windsor County,2010,2490171,56623
50003,Bennington County,2008,1561674,37168
50015,Lamoille County,2011,1068277,24698
50003,Bennington County,2009,1467462,37151
50000,Vermont,2010,25612435,625984
50007,Chittenden County,2013,8215744,159931
50023,Washington County,2006,2272119,59414
50001,Addison County,2010,1431553,36820
50011,Franklin County,2008,1652342,47462
50027,Windsor County,2011,2611966,56649
50005,Caledonia County,2006,878932,31252
50013,Grand Isle County,2010,321515,6952
50019,Orleans County,2011,995401,27185
50017,Orange County,2010,1063437,28952
50011,Franklin County,2015,1987471,48799
50013,Grand Isle County,2007,308075,7152
50007,Chittenden County,2006,6455880,152861
